policy,metric,reported,reconstructed,absolute_difference,relative_difference_pct
pto_frozen,weighted_cost,73.71,73.88385896802384,0.17385896802385048,0.23586890248792633
pto_frozen,terminal_yard_backlog,7940.2,7931.172500000001,-9.027499999999236,-0.1136936097327427
pto_frozen,late_horizon_drift,5.509,5.526071412256564,0.01707141225656361,0.3098822337368599
pto_reid_7d,weighted_cost,5.475,5.920568058184103,0.4455680581841035,8.138229373225634
pto_reid_7d,terminal_yard_backlog,0.1,2.045,1.9449999999999998,1944.9999999999995
pto_reid_7d,late_horizon_drift,-0.0014,-0.00011122756066649599,0.001288772439333504,92.05517423810743
pto_reid_3d,weighted_cost,0.21,0.09375977317682352,-0.11624022682317647,-55.352488963417365
pto_reid_3d,terminal_yard_backlog,0.1,2.335,2.235,2235.0
pto_reid_3d,late_horizon_drift,0.0,0.0002464783918332979,0.0002464783918332979,
pto_reid_1d,weighted_cost,0.252,0.07752330942473191,-0.1744766905752681,-69.23678197431273
pto_reid_1d,terminal_yard_backlog,0.1,2.175,2.0749999999999997,2074.9999999999995
pto_reid_1d,late_horizon_drift,0.0,0.0002538384498196607,0.0002538384498196607,
feedback_fast,weighted_cost,0.218,0.2261268432844515,0.008126843284451513,3.727909763509868
feedback_fast,terminal_yard_backlog,3.0,2.4475000000000002,-0.5524999999999998,-18.416666666666657
feedback_fast,late_horizon_drift,-0.0001,-8.051168841878655e-05,1.9488311581213454e-05,19.488311581213452
feedback_tracker,weighted_cost,0.232,0.2372357715461359,0.005235771546135887,2.2567980802309857
feedback_tracker,terminal_yard_backlog,4.4,4.365,-0.03500000000000014,-0.7954545454545486
feedback_tracker,late_horizon_drift,0.0007,0.0005371076371859252,-0.00016289236281407478,-23.270337544867825
pto_high_fidelity,weighted_cost,0.067,0.08377108565349003,0.01677108565349003,25.031471124611986
pto_high_fidelity,terminal_yard_backlog,1.0,2.975,1.975,197.5
pto_high_fidelity,late_horizon_drift,0.0,-4.4680640975004e-06,-4.4680640975004e-06,
