scenario,policy,metric,mean,ci_low,ci_high,n
sc_low_workload,fixed,mean_gate_wait,20.565573152073426,19.793481460783248,21.452501256036353,50
sc_low_workload,fixed,mean_yard_wait,3.214655761559718,3.1135220491629783,3.318115426060632,50
sc_low_workload,fixed,mean_total_wait,23.78022891363315,22.980261300082546,24.607059864059778,50
sc_low_workload,fixed,p95_total_wait,60.05932671851437,57.703021815538676,62.50711197691727,50
sc_low_workload,fixed,mean_turnaround,39.77586892977272,38.93941043825685,40.6193523257249,50
sc_low_workload,fixed,mean_gate_queue,14.800906400966182,14.239786699879227,15.396474728260868,50
sc_low_workload,fixed,mean_yard_queue,2.238739734299517,2.1657534269323673,2.316758952294686,50
sc_low_workload,fixed,p95_yard_queue,8.369599999999997,7.998054999999997,8.75220583333333,50
sc_low_workload,fixed,throughput_rate,0.9270497176973034,0.9261229510167933,0.9278866681623184,50
sc_low_workload,fixed,completion_rate,1.0,1.0,1.0,50
sc_low_workload,fixed,acceptance_rate,0.9429552938723941,0.9421790799898647,0.9437489726986296,50
sc_low_workload,fixed,gate_utilization,0.9782583031400968,0.9773582880434781,0.9791685461956522,50
sc_low_workload,fixed,yard_utilization,0.9295342060281685,0.9282310941753213,0.9307061860163777,50
sc_low_workload,fixed,yard_resource_hours_per_truck,0.18814441874397272,0.1879226115700194,0.1883747236800812,50
sc_low_workload,fixed,mean_composite_cost,0.4637152743312317,0.45315665929897203,0.4746734165714525,50
sc_low_workload,fixed,mean_quota,25.0,25.0,25.0,50
sc_low_workload,fixed,mean_yard_capacity,8.0,8.0,8.0,50
sc_low_workload,fixed,unstable,0.32,0.2,0.46,50
sc_low_workload,fixed,queue_tail_slope,-0.01035215678761217,-0.03468492503601703,0.013751705040862887,50
sc_low_workload,fixed,terminal_system,0.0,0.0,0.0,50
sc_low_workload,fixed,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_low_workload,fixed,drain_truncated,0.0,0.0,0.0,50
sc_low_workload,fixed,drain_minutes,33.06,29.5795,37.12149999999999,50
sc_low_workload,fixed,first_queue_threshold_period,440.3,413.9775,470.5005,50
sc_low_workload,fixed,mean_net_queue_drift,-0.00039855072463768103,-0.004384963768115943,0.0032798913043478217,50
sc_low_workload,fixed,tail_net_queue_drift,-0.05663636363636364,-0.07800000000000001,-0.03536136363636364,50
sc_low_workload,fixed,service_floor_binding_rate,0.029456521739130433,0.02682971014492754,0.032174365942028986,50
sc_low_workload,fixed,projection_binding_rate,0.0,0.0,0.0,50
sc_low_workload,gate_only,mean_gate_wait,10.995124718381371,10.746143041364702,11.234575039763172,50
sc_low_workload,gate_only,mean_yard_wait,2.6787546541665983,2.6116225399143143,2.748351486833801,50
sc_low_workload,gate_only,mean_total_wait,13.673879372547969,13.419220431747771,13.9217015034904,50
sc_low_workload,gate_only,p95_total_wait,33.11055798399597,32.42466476532981,33.84260551280808,50
sc_low_workload,gate_only,mean_turnaround,29.671356464070737,29.41693667503601,29.926425629209497,50
sc_low_workload,gate_only,mean_gate_queue,7.9216068840579705,7.759723324275362,8.088795365338164,50
sc_low_workload,gate_only,mean_yard_queue,1.8193798309178744,1.7735948218599034,1.872844565217391,50
sc_low_workload,gate_only,p95_yard_queue,6.990433333333329,6.787739999999996,7.221902499999994,50
sc_low_workload,gate_only,throughput_rate,0.9116587062640893,0.9105970513539884,0.9127007501018572,50
sc_low_workload,gate_only,completion_rate,1.0,1.0,1.0,50
sc_low_workload,gate_only,acceptance_rate,0.9269027248843312,0.9258558792903422,0.9279812125788747,50
sc_low_workload,gate_only,gate_utilization,0.9674572765700483,0.9665866017512079,0.9683460333635265,50
sc_low_workload,gate_only,yard_utilization,0.914306299161302,0.9130993980036958,0.9154393541195928,50
sc_low_workload,gate_only,yard_resource_hours_per_truck,0.19132137673358823,0.19111103230761672,0.19154584063559124,50
sc_low_workload,gate_only,mean_composite_cost,0.34363455393097764,0.3400955604123813,0.3471456197360707,50
sc_low_workload,gate_only,mean_quota,24.165471014492756,24.125301177536233,24.209385416666667,50
sc_low_workload,gate_only,mean_yard_capacity,8.0,8.0,8.0,50
sc_low_workload,gate_only,unstable,0.16,0.06,0.26,50
sc_low_workload,gate_only,queue_tail_slope,-0.004298564395582984,-0.012620911185242435,0.0034959934183463005,50
sc_low_workload,gate_only,terminal_system,0.0,0.0,0.0,50
sc_low_workload,gate_only,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_low_workload,gate_only,drain_truncated,0.0,0.0,0.0,50
sc_low_workload,gate_only,drain_minutes,28.86,26.46,31.460999999999995,50
sc_low_workload,gate_only,first_queue_threshold_period,418.98,293.666,540.213,50
sc_low_workload,gate_only,mean_net_queue_drift,-0.0010326086956521738,-0.0028446557971014497,0.0009420289855072464,50
sc_low_workload,gate_only,tail_net_queue_drift,-0.04018181818181819,-0.050456818181818186,-0.028815909090909104,50
sc_low_workload,gate_only,service_floor_binding_rate,0.14365942028985507,0.13787862318840577,0.14967481884057968,50
sc_low_workload,gate_only,projection_binding_rate,7.246376811594203e-05,0.0,0.0001992753623188406,50
sc_low_workload,pto,mean_gate_wait,2.5829070686572284,2.5313528700718444,2.628816257582298,50
sc_low_workload,pto,mean_yard_wait,0.3504770022863962,0.3467787939221152,0.3542841747158344,50
sc_low_workload,pto,mean_total_wait,2.933384070943625,2.880066393585628,2.979355783779829,50
sc_low_workload,pto,p95_total_wait,8.7134068563244,8.580261848344591,8.828029222258623,50
sc_low_workload,pto,mean_turnaround,18.931248957130332,18.882183127739996,18.97818696254153,50
sc_low_workload,pto,mean_gate_queue,1.8285199275362316,1.7883057216183575,1.8611775362318843,50
sc_low_workload,pto,mean_yard_queue,0.11879468599033817,0.11531881038647343,0.12200243055555554,50
sc_low_workload,pto,p95_yard_queue,0.5655666666666659,0.5484333333333328,0.5817358333333323,50
sc_low_workload,pto,throughput_rate,0.8194262381719766,0.8168545032340995,0.8217490788560804,50
sc_low_workload,pto,completion_rate,1.0,1.0,1.0,50
sc_low_workload,pto,acceptance_rate,0.8308201171827686,0.8283515811438887,0.8330635148160205,50
sc_low_workload,pto,gate_utilization,0.9022856280193237,0.9001364960748792,0.904085911080918,50
sc_low_workload,pto,yard_utilization,0.7298777907037093,0.7274549097063158,0.7318548891392365,50
sc_low_workload,pto,yard_resource_hours_per_truck,0.23969208841724599,0.2390363881774386,0.2404917074318821,50
sc_low_workload,pto,mean_composite_cost,0.2768481864709282,0.27610343801680837,0.27762340317883455,50
sc_low_workload,pto,mean_quota,19.92,19.84,19.98,50
sc_low_workload,pto,mean_yard_capacity,9.0,9.0,9.0,50
sc_low_workload,pto,unstable,0.0,0.0,0.0,50
sc_low_workload,pto,queue_tail_slope,-0.0004244035845969879,-0.0009325221595487615,0.00014024262334494912,50
sc_low_workload,pto,terminal_system,0.0,0.0,0.0,50
sc_low_workload,pto,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_low_workload,pto,drain_truncated,0.0,0.0,0.0,50
sc_low_workload,pto,drain_minutes,24.74,22.58,27.1005,50
sc_low_workload,pto,first_queue_threshold_period,-1.0,-1.0,-1.0,50
sc_low_workload,pto,mean_net_queue_drift,-0.0016847826086956522,-0.0026268115942028984,-0.0006884057971014493,50
sc_low_workload,pto,tail_net_queue_drift,-0.0047272727272727275,-0.01100227272727273,0.001093181818181806,50
sc_low_workload,pto,service_floor_binding_rate,0.554981884057971,0.5450538949275362,0.5658695652173913,50
sc_low_workload,pto,projection_binding_rate,0.0,0.0,0.0,50
sc_low_workload,online_joint,mean_gate_wait,10.031115171208349,9.017203360475573,11.018394713277866,50
sc_low_workload,online_joint,mean_yard_wait,1.4353647325367824,1.2540463929768721,1.6381691823255298,50
sc_low_workload,online_joint,mean_total_wait,11.466479903745128,10.408008348569663,12.541299492546012,50
sc_low_workload,online_joint,p95_total_wait,28.33143137890115,26.39226522181796,30.440086977994685,50
sc_low_workload,online_joint,mean_turnaround,27.463273930175045,26.47340072662242,28.51264691868813,50
sc_low_workload,online_joint,mean_gate_queue,7.219140700483091,6.513530480072462,7.928401917270532,50
sc_low_workload,online_joint,mean_yard_queue,0.9439504830917875,0.8173055857487923,1.1058786684782604,50
sc_low_workload,online_joint,p95_yard_queue,3.4013666666666644,3.0394891666666646,3.8058749999999972,50
sc_low_workload,online_joint,throughput_rate,0.9024861192971686,0.8973793377503848,0.9073163857939651,50
sc_low_workload,online_joint,completion_rate,1.0,1.0,1.0,50
sc_low_workload,online_joint,acceptance_rate,0.9173336102650284,0.9119846205370877,0.9224323189737155,50
sc_low_workload,online_joint,gate_utilization,0.9612228260869565,0.9573986224335749,0.9645563971920289,50
sc_low_workload,online_joint,yard_utilization,0.8846466227271716,0.8761319940307043,0.8936230099448763,50
sc_low_workload,online_joint,yard_resource_hours_per_truck,0.19796554026008217,0.19604459248640363,0.20001813181337738,50
sc_low_workload,online_joint,mean_composite_cost,0.32749788162692867,0.31612148447409033,0.3393006424303948,50
sc_low_workload,online_joint,mean_quota,23.74554347826087,23.45979755434783,24.03146240942029,50
sc_low_workload,online_joint,mean_yard_capacity,8.190960144927537,8.117337409420289,8.273109148550725,50
sc_low_workload,online_joint,unstable,0.16,0.06,0.26,50
sc_low_workload,online_joint,queue_tail_slope,-0.0006187069980785239,-0.008672781697217698,0.007155814986785936,50
sc_low_workload,online_joint,terminal_system,0.0,0.0,0.0,50
sc_low_workload,online_joint,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_low_workload,online_joint,drain_truncated,0.0,0.0,0.0,50
sc_low_workload,online_joint,drain_minutes,28.7,26.14,31.540499999999998,50
sc_low_workload,online_joint,first_queue_threshold_period,358.3,229.033,492.2435,50
sc_low_workload,online_joint,mean_net_queue_drift,-0.0006521739130434784,-0.0023369565217391305,0.0010874094202898525,50
sc_low_workload,online_joint,tail_net_queue_drift,-0.03536363636363636,-0.046729545454545454,-0.02436363636363636,50
sc_low_workload,online_joint,service_floor_binding_rate,0.20411231884057968,0.1782749094202899,0.23132472826086956,50
sc_low_workload,online_joint,projection_binding_rate,0.0014492753623188406,0.00016259057971014493,0.003478260869565217,50
sc_median_workload,fixed,mean_gate_wait,23.529402444377965,22.227904236406115,24.979093820734864,50
sc_median_workload,fixed,mean_yard_wait,3.5179237658910605,3.380347735368358,3.6660369760406346,50
sc_median_workload,fixed,mean_total_wait,27.04732621026902,25.72108675636232,28.558656560450114,50
sc_median_workload,fixed,p95_total_wait,67.11741758810223,63.32492517758541,71.49668689926892,50
sc_median_workload,fixed,mean_turnaround,43.04760951342077,41.743875246612674,44.509137275332854,50
sc_median_workload,fixed,mean_gate_queue,17.01264190821256,16.070710733695655,18.100080797101448,50
sc_median_workload,fixed,mean_yard_queue,2.474734903381642,2.378358121980676,2.583141893115942,50
sc_median_workload,fixed,p95_yard_queue,9.137366666666662,8.699036666666661,9.602754999999993,50
sc_median_workload,fixed,throughput_rate,0.9240515435321919,0.9230510827141869,0.9250312159920612,50
sc_median_workload,fixed,completion_rate,1.0,1.0,1.0,50
sc_median_workload,fixed,acceptance_rate,0.939870836963379,0.9389657517446065,0.9406897736696859,50
sc_median_workload,fixed,gate_utilization,0.9828491847826086,0.9819444067028985,0.9838111601751206,50
sc_median_workload,fixed,yard_utilization,0.9365304283839503,0.9349571856190525,0.9382627425097761,50
sc_median_workload,fixed,yard_resource_hours_per_truck,0.18684162056825496,0.18658175241455316,0.1871040198774124,50
sc_median_workload,fixed,mean_composite_cost,0.5069212686219118,0.4901703298402842,0.5242322465254191,50
sc_median_workload,fixed,mean_quota,25.0,25.0,25.0,50
sc_median_workload,fixed,mean_yard_capacity,8.0,8.0,8.0,50
sc_median_workload,fixed,unstable,0.32,0.18,0.46,50
sc_median_workload,fixed,queue_tail_slope,-0.0056822056804330424,-0.03124270454498511,0.020210224431759367,50
sc_median_workload,fixed,terminal_system,0.0,0.0,0.0,50
sc_median_workload,fixed,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_median_workload,fixed,drain_truncated,0.0,0.0,0.0,50
sc_median_workload,fixed,drain_minutes,35.1,31.0395,39.4,50
sc_median_workload,fixed,first_queue_threshold_period,407.88,390.1755,428.38149999999996,50
sc_median_workload,fixed,mean_net_queue_drift,-0.0004710144927536236,-0.005290307971014493,0.004148550724637681,50
sc_median_workload,fixed,tail_net_queue_drift,-0.06472727272727273,-0.08954772727272728,-0.03890000000000005,50
sc_median_workload,fixed,service_floor_binding_rate,0.03496376811594203,0.0324633152173913,0.03751811594202899,50
sc_median_workload,fixed,projection_binding_rate,0.0,0.0,0.0,50
sc_median_workload,gate_only,mean_gate_wait,11.560924465632839,11.312855810020624,11.81330351353473,50
sc_median_workload,gate_only,mean_yard_wait,2.905971040149634,2.807646420436769,3.0160113719647947,50
sc_median_workload,gate_only,mean_total_wait,14.466895505782473,14.176681906985936,14.775976572256939,50
sc_median_workload,gate_only,p95_total_wait,34.1113898731255,33.25642346734812,34.90164631124514,50
sc_median_workload,gate_only,mean_turnaround,30.46704907369899,30.167095108612553,30.782486863911554,50
sc_median_workload,gate_only,mean_gate_queue,8.366676328502416,8.191602506038649,8.543335235507245,50
sc_median_workload,gate_only,mean_yard_queue,1.9924070048309181,1.9202720410628016,2.0656112167874396,50
sc_median_workload,gate_only,p95_yard_queue,7.6842666666666615,7.362408333333329,8.001195833333325,50
sc_median_workload,gate_only,throughput_rate,0.9078781223610042,0.9066743813475618,0.9090908527181004,50
sc_median_workload,gate_only,completion_rate,1.0,1.0,1.0,50
sc_median_workload,gate_only,acceptance_rate,0.9230012287947108,0.9218450363605071,0.9241338455525757,50
sc_median_workload,gate_only,gate_utilization,0.9714412741545893,0.9706203125,0.9722127339975846,50
sc_median_workload,gate_only,yard_utilization,0.9201340915662426,0.9187840598091307,0.9216252419713347,50
sc_median_workload,gate_only,yard_resource_hours_per_truck,0.1901702819675461,0.18995421055494738,0.1904031317794357,50
sc_median_workload,gate_only,mean_composite_cost,0.3551977847726362,0.3514716614090494,0.35888233337339737,50
