scenario,fidelity_level,fidelity_label,metric,metric_label,direction,pto,online_joint,online_advantage,ci_low,ci_high,online_minus_pto
public_peak_workload,high_fidelity,高保真模型,mean_composite_cost,综合成本,lower_is_better,"0.288 [0.287, 0.289]","0.455 [0.433, 0.477]",-0.16668315432563868,-0.19073192512641893,-0.14514472914162885,0.16668315432563868
public_peak_workload,high_fidelity,高保真模型,mean_total_wait,平均总等待,lower_is_better,"3.924 [3.887, 3.962]","19.593 [17.916, 21.464]",-15.66865804427659,-17.536246103681673,-13.974789531026067,15.66865804427659
public_peak_workload,high_fidelity,高保真模型,p95_total_wait,P95总等待,lower_is_better,"10.951 [10.836, 11.051]","49.839 [47.149, 52.669]",-38.88820870191307,-41.95935018650117,-36.05979049207695,38.88820870191307
public_peak_workload,high_fidelity,高保真模型,mean_yard_wait,平均堆场等待,lower_is_better,"1.074 [1.054, 1.095]","1.784 [1.391, 2.266]",-0.7098033033127866,-1.1638015934565225,-0.31439350947451233,0.7098033033127866
public_peak_workload,high_fidelity,高保真模型,p95_yard_queue,堆场P95队列,lower_is_better,"2.441 [2.371, 2.512]","3.979 [3.354, 4.696]",-1.5373333333333332,-2.234885833333331,-0.8902125,1.5373333333333332
public_peak_workload,high_fidelity,高保真模型,yard_resource_hours_per_truck,单位车辆堆场资源时,lower_is_better,"0.208 [0.207, 0.208]","0.194 [0.192, 0.197]",0.013178804259275027,0.010529109259811568,0.015710945832011516,-0.013178804259275027
public_peak_workload,high_fidelity,高保真模型,throughput_rate,吞吐率,higher_is_better,"0.777 [0.776, 0.778]","0.863 [0.859, 0.867]",0.08586557213921107,0.08220650786224405,0.08927572902043997,0.08586557213921107
public_peak_workload,high_fidelity,高保真模型,acceptance_rate,预约接受率,higher_is_better,"0.788 [0.787, 0.789]","0.878 [0.873, 0.882]",0.0894935454144537,0.08569527233540578,0.09307260841015236,0.0894935454144537
public_peak_workload,mild_misspecification,轻度失真,mean_composite_cost,综合成本,lower_is_better,"0.380 [0.374, 0.385]","0.455 [0.434, 0.478]",-0.07468342906637304,-0.09651923808133359,-0.05388985309644873,0.07468342906637304
public_peak_workload,mild_misspecification,轻度失真,mean_total_wait,平均总等待,lower_is_better,"14.961 [14.562, 15.380]","19.593 [17.872, 21.450]",-4.631419325533202,-6.405404383122061,-2.9686924848263585,4.631419325533202
public_peak_workload,mild_misspecification,轻度失真,p95_total_wait,P95总等待,lower_is_better,"36.321 [35.088, 37.672]","49.839 [46.997, 52.959]",-13.518754691575504,-16.381698857880657,-10.772616542207915,13.518754691575504
public_peak_workload,mild_misspecification,轻度失真,mean_yard_wait,平均堆场等待,lower_is_better,"3.097 [2.997, 3.199]","1.784 [1.384, 2.253]",1.3134323597605835,0.8607068560812993,1.704939011797424,-1.3134323597605835
public_peak_workload,mild_misspecification,轻度失真,p95_yard_queue,堆场P95队列,lower_is_better,"8.102 [7.777, 8.419]","3.979 [3.316, 4.709]",4.1237999999999975,3.386017499999997,4.837269999999996,-4.1237999999999975
public_peak_workload,mild_misspecification,轻度失真,yard_resource_hours_per_truck,单位车辆堆场资源时,lower_is_better,"0.188 [0.188, 0.188]","0.194 [0.192, 0.197]",-0.0063345191970656635,-0.00897533162574986,-0.0038003019311992044,0.0063345191970656635
