scenario,metric,baseline,target,baseline_mean,target_mean,baseline_minus_target,ci_low,ci_high,target_better_if_lower
sc_high_workload,mean_composite_cost,pto,online_joint,0.3063205282733098,0.4634450612941222,-0.1571245330208124,-0.18473320130853135,-0.1307133362098294,False
sc_peak_workload,mean_composite_cost,pto,online_joint,0.3251058668999373,0.49164676264714285,-0.16654089574720563,-0.1946340389853599,-0.14140197585762052,False
sc_high_workload,mean_composite_cost,pto_adaptive_slow,online_joint,0.3095485568363944,0.4634450612941222,-0.15389650445772785,-0.18126394220771583,-0.12821030829818533,False
sc_peak_workload,mean_composite_cost,pto_adaptive_slow,online_joint,0.3220805533203633,0.49164676264714285,-0.16956620932677968,-0.1974278368676058,-0.1456717539154844,False
sc_high_workload,mean_composite_cost,pto_adaptive_fast,online_joint,0.3154189632602088,0.4634450612941222,-0.1480260980339134,-0.1755220318588743,-0.12282405661941334,False
sc_peak_workload,mean_composite_cost,pto_adaptive_fast,online_joint,0.3267053782318559,0.49164676264714285,-0.16494138441528705,-0.1938389841947784,-0.14071877434086535,False
sc_high_workload,mean_composite_cost,online_fast_only,online_joint,0.38122144915672374,0.4634450612941222,-0.0822236121373985,-0.10734507564539439,-0.0573837749034208,False
sc_peak_workload,mean_composite_cost,online_fast_only,online_joint,0.390671210028649,0.49164676264714285,-0.1009755526184939,-0.12831056944993785,-0.07523607915282046,False
sc_high_workload,p95_total_wait,pto,online_joint,13.909070736925663,52.09616674529544,-38.187096008369764,-42.3174511488638,-33.73609191484145,False
sc_peak_workload,p95_total_wait,pto,online_joint,18.55956211647414,53.90430202334032,-35.34473990686618,-40.33050369866564,-29.652000497538758,False
sc_high_workload,p95_total_wait,pto_adaptive_slow,online_joint,14.899496404492734,52.09616674529544,-37.19667034080269,-41.119073532615545,-32.83463975176252,False
sc_peak_workload,p95_total_wait,pto_adaptive_slow,online_joint,18.320245461343553,53.90430202334032,-35.58405656199677,-40.18724636064394,-29.776151863277917,False
sc_high_workload,p95_total_wait,pto_adaptive_fast,online_joint,15.260016514884942,52.09616674529544,-36.83615023041049,-40.44042401820141,-33.25565993475101,False
sc_peak_workload,p95_total_wait,pto_adaptive_fast,online_joint,19.259705427999542,53.90430202334032,-34.64459659534077,-39.35378081111113,-28.955186800946063,False
sc_high_workload,p95_total_wait,online_fast_only,online_joint,41.50977488690149,52.09616674529544,-10.586391858393947,-13.83954504707532,-7.301848617997775,False
sc_peak_workload,p95_total_wait,online_fast_only,online_joint,42.703862171773814,53.90430202334032,-11.200439851566507,-14.120733135321007,-8.402301337251231,False
sc_high_workload,tail_net_queue_drift,pto,online_joint,-0.0061818181818181816,-0.04372727272727272,0.03754545454545455,0.0263590909090909,0.049550000000000004,True
sc_peak_workload,tail_net_queue_drift,pto,online_joint,-0.010636363636363637,-0.05072727272727273,0.04009090909090909,0.025725,0.05572954545454545,True
sc_high_workload,tail_net_queue_drift,pto_adaptive_slow,online_joint,-0.00809090909090909,-0.04372727272727272,0.03563636363636364,0.02418181818181818,0.04700681818181819,True
sc_peak_workload,tail_net_queue_drift,pto_adaptive_slow,online_joint,-0.0071818181818181824,-0.05072727272727273,0.04354545454545455,0.02799545454545455,0.05937272727272727,True
sc_high_workload,tail_net_queue_drift,pto_adaptive_fast,online_joint,-0.009818181818181818,-0.04372727272727272,0.03390909090909091,0.023363636363636364,0.04445681818181818,True
sc_peak_workload,tail_net_queue_drift,pto_adaptive_fast,online_joint,-0.011363636363636364,-0.05072727272727273,0.03936363636363636,0.025722727272727272,0.0539090909090909,True
sc_high_workload,tail_net_queue_drift,online_fast_only,online_joint,-0.03318181818181818,-0.04372727272727272,0.010545454545454547,0.002454545454545454,0.01900227272727273,True
sc_peak_workload,tail_net_queue_drift,online_fast_only,online_joint,-0.03481818181818182,-0.05072727272727273,0.015909090909090907,0.005806818181818182,0.02591363636363636,True
sc_high_workload,unstable,pto,online_joint,0.0,0.4,-0.4,-0.54,-0.26,False
sc_peak_workload,unstable,pto,online_joint,0.0,0.3,-0.3,-0.42,-0.18,False
sc_high_workload,unstable,pto_adaptive_slow,online_joint,0.02,0.4,-0.38,-0.5,-0.26,False
sc_peak_workload,unstable,pto_adaptive_slow,online_joint,0.0,0.3,-0.3,-0.42,-0.18,False
sc_high_workload,unstable,pto_adaptive_fast,online_joint,0.02,0.4,-0.38,-0.5,-0.26,False
sc_peak_workload,unstable,pto_adaptive_fast,online_joint,0.0,0.3,-0.3,-0.42,-0.18,False
sc_high_workload,unstable,online_fast_only,online_joint,0.34,0.4,-0.06,-0.14,0.0,False
sc_peak_workload,unstable,online_fast_only,online_joint,0.24,0.3,-0.06,-0.18,0.04,False
