scenario,policy,metric,mean,ci_low,ci_high,n
sc_high_workload,fixed,mean_gate_wait,263.6884933300997,234.97630356166593,295.0432171666608,50
sc_high_workload,fixed,mean_yard_wait,4.698826831280421,4.521543833099746,4.894267792679218,50
sc_high_workload,fixed,mean_total_wait,268.3873201613801,239.67371024821878,298.7567510543494,50
sc_high_workload,fixed,p95_total_wait,426.99459945708594,387.11690698021454,469.9662079331603,50
sc_high_workload,fixed,mean_turnaround,284.3852418978251,253.39954284012245,314.6041189883133,50
sc_high_workload,fixed,mean_gate_queue,192.2351865942029,170.48967912137684,215.08923870772946,50
sc_high_workload,fixed,mean_yard_queue,3.459996376811594,3.321702762681159,3.6129407759661833,50
sc_high_workload,fixed,p95_yard_queue,11.73593333333333,11.135012499999997,12.401314166666657,50
sc_high_workload,fixed,throughput_rate,0.9009508221805309,0.8998886507334222,0.9020337636353997,50
sc_high_workload,fixed,completion_rate,1.0,1.0,1.0,50
sc_high_workload,fixed,acceptance_rate,0.9167571231878786,0.9158070986020814,0.9176728062176024,50
sc_high_workload,fixed,gate_utilization,0.9998727355072464,0.9997607185990338,0.9999583786231885,50
sc_high_workload,fixed,yard_utilization,0.9619599640538016,0.9608914844983486,0.9630462429391499,50
sc_high_workload,fixed,yard_resource_hours_per_truck,0.18036062798068517,0.18013344380768787,0.1805974938993725,50
sc_high_workload,fixed,mean_composite_cost,3.2243793419535893,2.9017073464559653,3.5474911009855328,50
sc_high_workload,fixed,mean_quota,25.0,25.0,25.0,50
sc_high_workload,fixed,mean_yard_capacity,8.0,8.0,8.0,50
sc_high_workload,fixed,unstable,0.72,0.6,0.84,50
sc_high_workload,fixed,queue_tail_slope,0.16323025231550484,0.0962972167249874,0.2270405385817501,50
sc_high_workload,fixed,terminal_system,0.0,0.0,0.0,50
sc_high_workload,fixed,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_high_workload,fixed,drain_truncated,0.0,0.0,0.0,50
sc_high_workload,fixed,drain_minutes,410.84,362.99899999999997,458.9515,50
sc_high_workload,fixed,first_queue_threshold_period,342.9,339.1395,347.561,50
sc_high_workload,fixed,mean_net_queue_drift,0.1869927536231884,0.1577486413043478,0.2177776268115942,50
sc_high_workload,fixed,tail_net_queue_drift,0.11027272727272729,0.04535681818181818,0.17163636363636361,50
